unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1640908800,12/31/2021 0:00,ETH/USD,3706.57,3815.62,3620.66,3677,27800.11243,102221013.4
1640822400,12/30/2021 0:00,ETH/USD,3630.25,3769.81,3585,3711.82,16312.69911,60549802.82
1640736000,12/29/2021 0:00,ETH/USD,3791.13,3827.86,3603.86,3627.68,14161.77246,51374378.71
1640649600,12/28/2021 0:00,ETH/USD,4040.2,4040.2,3760,3793.08,21755.6539,82520935.71
1640563200,12/27/2021 0:00,ETH/USD,4066.11,4128.82,4034.7,4037.4,7085.448436,28606789.52
1640476800,12/26/2021 0:00,ETH/USD,4098.62,4106.84,4002.97,4062.58,3919.400485,15922878.02
1640390400,12/25/2021 0:00,ETH/USD,4052.45,4140,4023.07,4099.24,3850.631533,15784662.81
1640304000,12/24/2021 0:00,ETH/USD,4116.4,4137.85,4020,4049.93,6839.929643,27701236.26
1640217600,12/23/2021 0:00,ETH/USD,3982.7,4155,3895.91,4113.76,13186.81833,54247405.79
1640131200,12/22/2021 0:00,ETH/USD,4017.87,4076,3930,3981.73,9073.77441,36129319.78
1640044800,12/21/2021 0:00,ETH/USD,3949.91,4064.01,3915.94,4018.39,13607.41179,54679887.45
1639958400,12/20/2021 0:00,ETH/USD,3927.07,3983.23,3755,3946.12,16426.60425,64821351.55
1639872000,12/19/2021 0:00,ETH/USD,3957.08,4030.11,3883.44,3922.28,8466.239566,33206962.13
1639785600,12/18/2021 0:00,ETH/USD,3878.48,3999,3768.85,3961.56,19864.71783,78695271.56
1639699200,12/17/2021 0:00,ETH/USD,3957,3994.99,3695.19,3877.3,35047.53813,135889819.6
1639612800,12/16/2021 0:00,ETH/USD,4020.63,4117.4,3952.93,3955.08,16395.42037,64845199.21
1639526400,12/15/2021 0:00,ETH/USD,3859.68,4094.78,3640.6,4020.51,33173.40609,133374010.9
1639440000,12/14/2021 0:00,ETH/USD,3785.56,3884.2,3686.66,3862.68,11516.07278,44482904.02
1639353600,12/13/2021 0:00,ETH/USD,4130.46,4144.01,3669.48,3786.59,21135.23921,80030485.46
1639267200,12/12/2021 0:00,ETH/USD,4095.23,4177.62,3987.85,4136.06,6795.059031,28104771.86
1639180800,12/11/2021 0:00,ETH/USD,3895.01,4098.07,3833.66,4089.22,8778.179985,35895909.16
1639094400,12/10/2021 0:00,ETH/USD,4106.71,4234,3885.05,3901.67,24219.76761,94497540.68
1639008000,12/9/2021 0:00,ETH/USD,4443.93,4491.99,4073.42,4105.61,16798.75152,68969122.22
1638921600,12/8/2021 0:00,ETH/USD,4313.54,4457.43,4226.05,4442.56,11704.28067,51996969.12
1638835200,12/7/2021 0:00,ETH/USD,4356.95,4431.28,4256.06,4311.66,15870.26107,68427169.83
1638748800,12/6/2021 0:00,ETH/USD,4202.73,4382.02,3922.8,4357.06,51987.00052,226510480.5
1638662400,12/5/2021 0:00,ETH/USD,4127.42,4258,4036.12,4198.73,20058.71142,84221113.39
1638576000,12/4/2021 0:00,ETH/USD,4219.57,4242.14,3470.02,4124.51,55450.3854,228705669.1
1638489600,12/3/2021 0:00,ETH/USD,4515.97,4660.81,4039,4222.8,29029.99815,122587876.2
1638403200,12/2/2021 0:00,ETH/USD,4587.72,4638.7,4435,4516.03,19141.48701,86443529.59
1638316800,12/1/2021 0:00,ETH/USD,4625.07,4784,4525.31,4587.58,35230.73865,161623832
1638230400,11/30/2021 0:00,ETH/USD,4449.57,4757.8,4350,4630.88,53996.46762,250051162
1638144000,11/29/2021 0:00,ETH/USD,4302,4463.43,4280.57,4448.71,15407.0479,68541488.05
1638057600,11/28/2021 0:00,ETH/USD,4099.3,4302.03,3965.01,4300.86,13333.776,57346703.84
1637971200,11/27/2021 0:00,ETH/USD,4044.64,4186.07,4031.94,4100.3,9399.459156,38540602.38
1637884800,11/26/2021 0:00,ETH/USD,4528.17,4555.25,3917,4045.9,36211.34191,146507468.2
1637798400,11/25/2021 0:00,ETH/USD,4271.53,4556.42,4251.88,4525.78,10134.06505,45864548.9
1637712000,11/24/2021 0:00,ETH/USD,4345.49,4374.89,4166.12,4270.67,13289.92856,56756899.19
