unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1609372800,12/31/2020 0:00,ETH/USD,753.31,755.9,722.35,737.24,73278.34924,54023730.2
1609286400,12/30/2020 0:00,ETH/USD,733.57,758.5,716.83,752.71,103291.7342,77748721.28
1609200000,12/29/2020 0:00,ETH/USD,729.31,739.81,688.98,731.8,69697.74504,51004809.82
1609113600,12/28/2020 0:00,ETH/USD,683.85,747,680.67,729.63,139810.7699,102010132
1609027200,12/27/2020 0:00,ETH/USD,638,714.99,624.49,683.6,151576.6057,103617767.7
1608940800,12/26/2020 0:00,ETH/USD,626.82,652.73,615.5,636.49,58305.22198,37110690.74
1608854400,12/25/2020 0:00,ETH/USD,613.25,633.47,604.2,626.78,60557.46516,37956208.01
1608768000,12/24/2020 0:00,ETH/USD,584.86,614.95,565.67,612.23,48800.16468,29876924.82
1608681600,12/23/2020 0:00,ETH/USD,637.22,638.8,550,585.43,97786.70414,57247270.21
1608595200,12/22/2020 0:00,ETH/USD,608.39,638.19,587.59,637.23,101954.2447,64968303.34
1608508800,12/21/2020 0:00,ETH/USD,637.88,648.16,595.22,607.77,123238.5499,74900693.46
1608422400,12/20/2020 0:00,ETH/USD,658.92,661.39,621.55,638.49,48989.9888,31279617.95
1608336000,12/19/2020 0:00,ETH/USD,655,671,645.97,658.71,89281.25539,58810455.74
1608249600,12/18/2020 0:00,ETH/USD,644.67,664.42,628.6,655,84346.84451,55247183.16
1608163200,12/17/2020 0:00,ETH/USD,638.45,676.94,625.86,643.71,184265.1019,118613288.8
1608076800,12/16/2020 0:00,ETH/USD,589.12,639.92,581,638.31,126698.0181,80872611.95
1607990400,12/15/2020 0:00,ETH/USD,586.49,597.61,579,589.04,34570.00584,20363116.24
1607904000,12/14/2020 0:00,ETH/USD,590.5,591.64,575.59,586.17,48205.28909,28256494.3
1607817600,12/13/2020 0:00,ETH/USD,568.07,595,563.68,590.71,44996.25784,26579739.47
1607731200,12/12/2020 0:00,ETH/USD,543.38,574.52,543.38,568.2,48287.04279,27436697.72
1607644800,12/11/2020 0:00,ETH/USD,559.57,560.05,535.03,543.76,156854.7956,85291363.65
1607558400,12/10/2020 0:00,ETH/USD,573.75,574.9,548.38,558.11,61487.19068,34316615.99
1607472000,12/9/2020 0:00,ETH/USD,554.59,577.91,530.36,573.44,170254.5602,97630774.98
1607385600,12/8/2020 0:00,ETH/USD,591.66,595.45,548.68,554.72,111845.2976,62042823.48
1607299200,12/7/2020 0:00,ETH/USD,602.98,602.98,584.71,591.65,32076.09801,18977823.39
1607212800,12/6/2020 0:00,ETH/USD,598,607.41,583.5,602.47,34253.58591,20636757.91
1607126400,12/5/2020 0:00,ETH/USD,567.21,597.91,561,597.16,38584.74471,23041266.15
1607040000,12/4/2020 0:00,ETH/USD,616.26,620.92,565.83,567.78,133931.6206,76043695.57
1606953600,12/3/2020 0:00,ETH/USD,596.45,624.36,586,616.74,94158.38189,58071240.45
1606867200,12/2/2020 0:00,ETH/USD,585.69,604.99,575.24,598.2,115162.981,68890495.24
1606780800,12/1/2020 0:00,ETH/USD,617,636.93,562.74,586.16,132071.9447,77415291.09
1606694400,11/30/2020 0:00,ETH/USD,576.97,617,570.76,617,89314.25408,55106894.77
