https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1636848000,2021-11-14 00:00:00,LTC/USD,257.66,279.55,248.69,279.38,35085.30952354,9802133.774686607
1636761600,2021-11-13 00:00:00,LTC/USD,251.37,264.35,245.48,257.70,30870.22613014,7955257.273737078
1636675200,2021-11-12 00:00:00,LTC/USD,262.35,282.64,243.97,251.19,61580.80095577,15468481.392079866
1636588800,2021-11-11 00:00:00,LTC/USD,260.30,274.16,251.00,262.46,55230.73337532,14495858.281686487
1636502400,2021-11-10 00:00:00,LTC/USD,262.31,295.80,252.22,260.53,154429.61142845,40233546.665454075
1636416000,2021-11-09 00:00:00,LTC/USD,229.03,274.54,227.20,262.24,147075.61310572,38569108.78084401
1636329600,2021-11-08 00:00:00,LTC/USD,202.04,229.70,202.04,228.55,48502.96257539,11085352.096605387
1636243200,2021-11-07 00:00:00,LTC/USD,197.80,202.26,197.20,202.10,11215.83226359,2266719.700471539
1636156800,2021-11-06 00:00:00,LTC/USD,198.98,201.38,191.44,197.68,14706.33593393,2907148.4874192826
1636070400,2021-11-05 00:00:00,LTC/USD,202.85,203.39,196.95,199.52,18641.55383124,3719362.8204090046
1635984000,2021-11-04 00:00:00,LTC/USD,207.24,207.32,196.45,202.91,29879.51529692,6062852.448898037
1635897600,2021-11-03 00:00:00,LTC/USD,200.90,209.69,197.85,207.19,38341.54642970,7943985.004769543
1635811200,2021-11-02 00:00:00,LTC/USD,197.57,204.90,195.32,200.89,18947.88039485,3806439.692521416
1635724800,2021-11-01 00:00:00,LTC/USD,191.80,201.01,188.00,197.67,27081.59524402,5353218.931885433
1635638400,2021-10-31 00:00:00,LTC/USD,190.44,195.10,186.93,192.08,18805.33197345,3612128.1654602764
1635552000,2021-10-30 00:00:00,LTC/USD,197.07,197.07,186.78,190.31,13445.76377840,2558863.304667304
1635465600,2021-10-29 00:00:00,LTC/USD,189.86,198.62,188.65,196.71,22575.03943875,4440736.007996513
1635379200,2021-10-28 00:00:00,LTC/USD,179.41,194.62,178.00,189.65,36744.47325149,6968589.3521450795
1635292800,2021-10-27 00:00:00,LTC/USD,197.60,204.96,172.01,179.23,53258.49195195,9545519.512547998
