unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1609372800,12/31/2020 0:00,XRP/USD,0.21141,0.22934,0.20525,0.21954,160265712.6,35184734.55
1609286400,12/30/2020 0:00,XRP/USD,0.22103,0.23644,0.19173,0.21168,303763559.8,64300670.34
1609200000,12/29/2020 0:00,XRP/USD,0.24748,0.25669,0.17,0.22136,524856403.6,116182213.5
1609113600,12/28/2020 0:00,XRP/USD,0.28323,0.31,0.234,0.24751,173257244,42882900.45
1609027200,12/27/2020 0:00,XRP/USD,0.29466,0.3116,0.26599,0.28324,214851174.9,60854446.78
1608940800,12/26/2020 0:00,XRP/USD,0.31767,0.3276,0.283,0.29477,191496031.6,56447285.24
1608854400,12/25/2020 0:00,XRP/USD,0.33938,0.3851,0.278,0.31745,455964759.1,144746012.8
1608768000,12/24/2020 0:00,XRP/USD,0.25944,0.378,0.2408,0.33845,428240982.7,144938160.6
1608681600,12/23/2020 0:00,XRP/USD,0.44571,0.44776,0.20982,0.2601,659490351.4,171533440.4
1608595200,12/22/2020 0:00,XRP/USD,0.51572,0.52211,0.4,0.44585,238708285.7,106428089.2
1608508800,12/21/2020 0:00,XRP/USD,0.55555,0.56983,0.498,0.51466,94770799.96,48774739.91
1608422400,12/20/2020 0:00,XRP/USD,0.57769,0.58698,0.52847,0.55619,73303405.71,40770621.22
1608336000,12/19/2020 0:00,XRP/USD,0.58522,0.60482,0.5665,0.57746,66883701.92,38622662.51
1608249600,12/18/2020 0:00,XRP/USD,0.578,0.61399,0.55111,0.58381,92185100.34,53818583.43
1608163200,12/17/2020 0:00,XRP/USD,0.5701,0.6599,0.5358,0.57883,260456711.2,150760158.2
1608076800,12/16/2020 0:00,XRP/USD,0.46851,0.575,0.43703,0.57102,180213171.4,102905325.2
1607990400,12/15/2020 0:00,XRP/USD,0.49843,0.50722,0.46202,0.46868,80599798.54,37775513.58
1607904000,12/14/2020 0:00,XRP/USD,0.51315,0.51863,0.48831,0.49715,52586624.3,26143440.27
1607817600,12/13/2020 0:00,XRP/USD,0.50629,0.5281,0.48601,0.51291,66440747.95,34078124.03
1607731200,12/12/2020 0:00,XRP/USD,0.53803,0.55099,0.48501,0.50566,142647862.9,72131318.36
1607644800,12/11/2020 0:00,XRP/USD,0.57436,0.5883,0.525,0.53802,155394843.1,83605533.5
1607558400,12/10/2020 0:00,XRP/USD,0.58441,0.58863,0.55229,0.57224,115458600.3,66070029.41
1607472000,12/9/2020 0:00,XRP/USD,0.55853,0.60527,0.5031,0.5832,192897200.8,112497647.5
