unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1642377600,2022-01-17 00:00:00,XRP/USD,0.77915,0.78064,0.75016,0.76267,22687882.16478172,17303367.090614073
1642291200,2022-01-16 00:00:00,XRP/USD,0.77961,0.78446,0.76813,0.77833,9053861.18554538,7046891.776545535
1642204800,2022-01-15 00:00:00,XRP/USD,0.77472,0.78963,0.76868,0.77924,7808713.65154907,6084862.025833098
1642118400,2022-01-14 00:00:00,XRP/USD,0.76841,0.79023,0.75195,0.77314,40792122.14200706,31538021.31287134
1642032000,2022-01-13 00:00:00,XRP/USD,0.79777,0.80269,0.76123,0.76721,26907726.93624269,20643877.18275475
1641945600,2022-01-12 00:00:00,XRP/USD,0.77084,0.80768,0.75723,0.79894,29776552.88565347,23789679.16246398
1641859200,2022-01-11 00:00:00,XRP/USD,0.74054,0.77720,0.73039,0.77019,24322583.04906453,18733010.23855901
1641772800,2022-01-10 00:00:00,XRP/USD,0.75281,0.75836,0.69592,0.74006,29545534.98792876,21865468.623166557
1641686400,2022-01-09 00:00:00,XRP/USD,0.74497,0.76697,0.73827,0.75268,12227884.54757219,9203684.141266637
1641600000,2022-01-08 00:00:00,XRP/USD,0.76488,0.77623,0.72300,0.74497,16815452.44249451,12527007.606085137
1641513600,2022-01-07 00:00:00,XRP/USD,0.77872,0.77960,0.72847,0.76311,38061909.50922180,29045423.765582245
1641427200,2022-01-06 00:00:00,XRP/USD,0.77224,0.79050,0.73800,0.78082,32565788.56740602,25428019.02920197
1641340800,2022-01-05 00:00:00,XRP/USD,0.82296,0.83414,0.70923,0.77173,33113359.15580211,25554572.661307164
1641254400,2022-01-04 00:00:00,XRP/USD,0.83307,0.84523,0.81500,0.82290,36598114.31966685,30116588.273653846
1641168000,2022-01-03 00:00:00,XRP/USD,0.85870,0.85870,0.82134,0.83239,21056781.20240546,17527454.10507028
1641081600,2022-01-02 00:00:00,XRP/USD,0.85096,0.86683,0.83750,0.85926,7368749.96468602,6331672.09465611
1640995200,2022-01-01 00:00:00,XRP/USD,0.83017,0.85663,0.83016,0.85090,11470001.93377532,9759824.64544942
1640908800,2021-12-31 00:00:00,XRP/USD,0.83826,0.85377,0.80282,0.82942,32132568.74235692,26651395.16628568
1640822400,2021-12-30 00:00:00,XRP/USD,0.81736,0.86023,0.80243,0.83904,21663655.90447471,18176673.85009046
1640736000,2021-12-29 00:00:00,XRP/USD,0.85183,0.86430,0.81114,0.81629,24429679.78701103,19941703.313339233
1640649600,2021-12-28 00:00:00,XRP/USD,0.92670,0.92670,0.84608,0.85154,25248023.03976832,21499701.539284315
1640563200,2021-12-27 00:00:00,XRP/USD,0.92124,0.95588,0.91458,0.92648,16677250.86285302,15451139.379416065
1640476800,2021-12-26 00:00:00,XRP/USD,0.92512,0.93335,0.90556,0.92062,6617886.03443707,6092558.241023455
1640390400,2021-12-25 00:00:00,XRP/USD,0.91196,0.93487,0.89923,0.92600,8170687.82966529,7566056.930270059
1640304000,2021-12-24 00:00:00,XRP/USD,0.99514,0.99753,0.89729,0.91186,32213434.87402900,29374142.724232085
1640217600,2021-12-23 00:00:00,XRP/USD,0.95431,1.02000,0.93799,0.99421,44206997.47751496,43951038.96212015
1640131200,2021-12-22 00:00:00,XRP/USD,0.94760,0.97344,0.92323,0.95389,34168654.97597218,32593138.295030106
1640044800,2021-12-21 00:00:00,XRP/USD,0.88163,0.96124,0.85269,0.94695,42716425.66735510,40450319.28570191
1639958400,2021-12-20 00:00:00,XRP/USD,0.83535,0.91523,0.82500,0.87813,57541551.97327081,50528963.034288295
1639872000,2021-12-19 00:00:00,XRP/USD,0.82616,0.84963,0.81988,0.83533,13026673.04565455,10881570.795226615
1639785600,2021-12-18 00:00:00,XRP/USD,0.79711,0.83423,0.79190,0.82613,11907363.56975027,9837030.26587779
1639699200,2021-12-17 00:00:00,XRP/USD,0.80465,0.83259,0.77623,0.79699,43309200.36029809,34516999.59515397
1639612800,2021-12-16 00:00:00,XRP/USD,0.82712,0.83665,0.80347,0.80543,23698135.81057083,19087189.52590806
