unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1609372800,12/31/2020 0:00,LTC/USD,130.29,130.44,122.09,124.36,77977.95685,9697338.713
1609286400,12/30/2020 0:00,LTC/USD,128.79,133,122.52,130.15,135848.4101,17680670.58
1609200000,12/29/2020 0:00,LTC/USD,129.78,130.63,119.76,128.84,80546.11132,10377560.98
1609113600,12/28/2020 0:00,LTC/USD,127.59,137.23,126.15,129.73,114428.894,14844860.43
1609027200,12/27/2020 0:00,LTC/USD,129.61,139.41,119.88,127.83,359413.3403,45943807.29
1608940800,12/26/2020 0:00,LTC/USD,127.88,135.12,124.89,129.5,221941.0015,28741359.69
1608854400,12/25/2020 0:00,LTC/USD,111.17,128.4,108.29,127.29,167324.519,21298738.03
1608768000,12/24/2020 0:00,LTC/USD,102.46,112.25,98.57,111.83,168399.2417,18832087.2
1608681600,12/23/2020 0:00,LTC/USD,114.77,117.24,94.44,102.6,349789.2814,35888380.27
1608595200,12/22/2020 0:00,LTC/USD,104.7,114.52,98.37,114.5,340513.7813,38988827.96
1608508800,12/21/2020 0:00,LTC/USD,114.5,118.68,100.37,104.62,247495.0967,25892937.02
1608422400,12/20/2020 0:00,LTC/USD,119.99,123.22,109.77,114.81,234944.5477,26973983.53
1608336000,12/19/2020 0:00,LTC/USD,109.52,124.5,105.46,119.95,130384.8583,15639663.75
1608249600,12/18/2020 0:00,LTC/USD,101.43,112.69,99.32,109.33,183924.1977,20108432.53
1608163200,12/17/2020 0:00,LTC/USD,93.02,110.09,90.37,101.07,244765.9272,24738492.26
1608076800,12/16/2020 0:00,LTC/USD,81.42,93.3,78.29,93.01,170994.8758,15904233.4
1607990400,12/15/2020 0:00,LTC/USD,82.44,84.8,80.17,81.31,60163.04321,4891857.044
1607904000,12/14/2020 0:00,LTC/USD,81.9,82.96,79.22,82.48,60439.13351,4985019.732
1607817600,12/13/2020 0:00,LTC/USD,76.72,84.32,75.63,82.08,50722.89655,4163335.349
1607731200,12/12/2020 0:00,LTC/USD,72.12,77.62,72.12,76.58,50370.26704,3857355.05
1607644800,12/11/2020 0:00,LTC/USD,74.85,74.87,69.9,72.24,91390.35492,6602039.24
1607558400,12/10/2020 0:00,LTC/USD,77.52,77.61,73.2,74.78,51154.17142,3825308.938
1607472000,12/9/2020 0:00,LTC/USD,76.69,78.18,72.01,77.44,138113.936,10695543.2
1607385600,12/8/2020 0:00,LTC/USD,83.4,84.8,75.39,76.8,143649.6896,11032296.16
1607299200,12/7/2020 0:00,LTC/USD,83.85,86.79,81.74,83.5,78486.86814,6553653.49
1607212800,12/6/2020 0:00,LTC/USD,83.22,85.17,80.4,83.83,48003.83571,4024161.548
1607126400,12/5/2020 0:00,LTC/USD,79.62,84.36,78.75,83.18,89141.17571,7414762.996
1607040000,12/4/2020 0:00,LTC/USD,88.66,89.82,77.95,80.05,117703.6544,9422177.538
1606953600,12/3/2020 0:00,LTC/USD,88.95,91.32,85.53,89.14,129031.892,11501902.85
1606867200,12/2/2020 0:00,LTC/USD,85.02,90.74,82.75,89.06,284724.6198,25357574.64
1606780800,12/1/2020 0:00,LTC/USD,87.81,93,78.39,85.22,238323.5545,20309933.32
1606694400,11/30/2020 0:00,LTC/USD,79.24,88.5,76.69,87.66,198340.7837,17386553.1
1606608000,11/29/2020 0:00,LTC/USD,72.83,81.07,71.61,78.98,91959.49133,7262960.625
1606521600,11/28/2020 0:00,LTC/USD,69.31,75,68.39,72.55,136287.1887,9887635.543
1606435200,11/27/2020 0:00,LTC/USD,71.29,73.63,65.29,69.09,151500.6284,10467178.41
