unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1577750400,12/31/2019 0:00,BTC/USD,7222.74,7302.35,7112.55,7168.36,2638.691309,18915089.23
1577664000,12/30/2019 0:00,BTC/USD,7372.79,7384.9,7199,7220.24,3722.913349,26880327.88
1577577600,12/29/2019 0:00,BTC/USD,7297.43,7524.46,7274.43,7385.54,2583.851342,19083137.44
1577491200,12/28/2019 0:00,BTC/USD,7247.7,7349.65,7231,7296.24,1579.702726,11525890.22
1577404800,12/27/2019 0:00,BTC/USD,7195.17,7255.37,7052,7246,4024.570866,29162040.49
1577318400,12/26/2019 0:00,BTC/USD,7195.8,7432,7150,7188.3,3116.747152,22404113.55
1577232000,12/25/2019 0:00,BTC/USD,7247.45,7266.81,7110.73,7195.79,1504.527513,10826264.03
1577145600,12/24/2019 0:00,BTC/USD,7317.47,7431.1,7156,7251.52,4194.589803,30417151.85
1577059200,12/23/2019 0:00,BTC/USD,7521.88,7692.98,7247.86,7316.17,6710.76736,49097114.84
1576972800,12/22/2019 0:00,BTC/USD,7147.4,7530,7124.52,7509.7,3796.226081,28508519
1576886400,12/21/2019 0:00,BTC/USD,7194.13,7194.13,7109.73,7147.4,1689.081995,12072544.65
1576800000,12/20/2019 0:00,BTC/USD,7157.53,7218.11,7072.61,7194.11,3201.663923,23033122.44
1576713600,12/19/2019 0:00,BTC/USD,7286.91,7372.12,7000,7149.57,5936.556345,42443825.15
1576627200,12/18/2019 0:00,BTC/USD,6619.53,7449.68,6425,7286.91,12873.63439,93809015.19
1576540800,12/17/2019 0:00,BTC/USD,6882.08,6938.77,6550,6612.3,7107.256385,46995311.4
1576454400,12/16/2019 0:00,BTC/USD,7115.08,7147.91,6820,6882.19,5923.055479,40763593.19
1576368000,12/15/2019 0:00,BTC/USD,7066.35,7225.23,7007,7115.08,1848.345728,13151127.72
1576281600,12/14/2019 0:00,BTC/USD,7255.94,7269,7007.48,7059.03,2012.348906,14205231.3
1576195200,12/13/2019 0:00,BTC/USD,7185.15,7302.35,7179.65,7257.47,3178.078496,23064809.34
1576108800,12/12/2019 0:00,BTC/USD,7208.95,7296.19,7072.2,7188.42,4376.888993,31462916.37
1576022400,12/11/2019 0:00,BTC/USD,7224.5,7271,7122.28,7207.42,3419.938965,24648936.5
1575936000,12/10/2019 0:00,BTC/USD,7332.05,7400,7150.23,7216.07,4090.620929,29518206.97
1575849600,12/9/2019 0:00,BTC/USD,7516.8,7666,7268.03,7340.52,6582.470312,48318754.97
1575763200,12/8/2019 0:00,BTC/USD,7505.86,7580,7382.69,7524.26,1798.770413,13534416.27
1575676800,12/7/2019 0:00,BTC/USD,7535.46,7638.88,7486.7,7502.65,2034.573719,15264694.51
1575590400,12/6/2019 0:00,BTC/USD,7397.35,7618.99,7305.56,7541.79,4167.240163,31428450.19
1575504000,12/5/2019 0:00,BTC/USD,7199.58,7500,7150.06,7390.42,4641.756789,34304532.21
1575417600,12/4/2019 0:00,BTC/USD,7299.2,7772.71,7087.09,7197.78,7737.391535,55692042.04
1575331200,12/3/2019 0:00,BTC/USD,7317.94,7415,7238.04,7300.43,2552.202298,18632174.22
1575244800,12/2/2019 0:00,BTC/USD,7411.75,7431.07,7140.08,7309.64,4324.300163,31609077.44
1575158400,12/1/2019 0:00,BTC/USD,7560.2,7560.2,7233.87,7412.66,5477.972908,40606350.65
1575072000,11/30/2019 0:00,BTC/USD,7753.69,7815,7452.08,7550.67,5446.273513,41123014.03
1574985600,11/29/2019 0:00,BTC/USD,7429.32,7870.35,7411.17,7753.69,7658.871602,59384516.15
1574899200,11/28/2019 0:00,BTC/USD,7517.82,7659.92,7372.19,7436.72,6925.584897,51503635.72
1574812800,11/27/2019 0:00,BTC/USD,7168.74,7676.27,6847.72,7527.84,15156.99193,114099410.2
1574726400,11/26/2019 0:00,BTC/USD,7127.12,7344.91,7018.78,7159.22,7643.849568,54724000.71
1574640000,11/25/2019 0:00,BTC/USD,6900.9,7380,6515,7122.14,18716.60131,133302254.9
1574553600,11/24/2019 0:00,BTC/USD,7330.98,7349.68,6861.96,6908.36,6047.01776,41774975.61
1574467200,11/23/2019 0:00,BTC/USD,7276.21,7356.49,7102.16,7320.39,5550.472228,40631621.39
1574380800,11/22/2019 0:00,BTC/USD,7612.23,7714.7,6785,7285.85,20120.14647,146592369.1
1574294400,11/21/2019 0:00,BTC/USD,8085.54,8116.92,7394.09,7611.51,9374.99957,71357902.98
1574208000,11/20/2019 0:00,BTC/USD,8124.08,8231.04,8027.28,8088.44,2996.006192,24233016.32
1574121600,11/19/2019 0:00,BTC/USD,8176.9,8197.77,7989.15,8121.63,4412.394642,35835836.69
1574035200,11/18/2019 0:00,BTC/USD,8499.53,8508.4,8010.7,8170.65,4825.655625,39428743.13
