unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1642032000,2022-01-13 00:00:00,ETH/USD,3372.33,3412.76,3230.70,3241.82,21742.71683507,70485974.29026663
1641945600,2022-01-12 00:00:00,ETH/USD,3241.32,3413.09,3208.02,3374.65,20223.03469614,68245664.03732885
1641859200,2022-01-11 00:00:00,ETH/USD,3084.94,3267.67,3052.28,3242.74,16990.21747956,55094857.829668395
1641772800,2022-01-10 00:00:00,ETH/USD,3151.66,3180.69,2926.00,3083.16,19337.24284650,59619813.65461494
1641686400,2022-01-09 00:00:00,ETH/USD,3081.16,3212.50,3058.76,3151.58,8928.99532469,28140443.08538651
1641600000,2022-01-08 00:00:00,ETH/USD,3205.63,3247.97,2987.60,3081.09,13925.90475460,42906965.880350515
1641513600,2022-01-07 00:00:00,ETH/USD,3407.72,3415.27,3060.93,3196.03,22053.77113038,70484514.1458284
1641427200,2022-01-06 00:00:00,ETH/USD,3537.82,3549.04,3299.00,3408.35,28217.09403574,96173732.45671442
1641340800,2022-01-05 00:00:00,ETH/USD,3786.66,3837.01,3410.22,3538.66,24981.41166881,88400722.21595119
1641254400,2022-01-04 00:00:00,ETH/USD,3770.63,3892.36,3715.02,3786.64,11484.16186271,43486386.67581219
1641168000,2022-01-03 00:00:00,ETH/USD,3827.03,3853.67,3681.14,3764.90,11589.13312508,43631927.30261369
1641081600,2022-01-02 00:00:00,ETH/USD,3769.81,3858.28,3718.86,3830.84,9687.57504081,37111549.96933658
1640995200,2022-01-01 00:00:00,ETH/USD,3678.39,3777.73,3676.50,3768.13,5975.18773069,22515284.14364491
1640908800,2021-12-31 00:00:00,ETH/USD,3706.57,3815.62,3620.66,3677.00,27800.11243028,102221013.40613957
1640822400,2021-12-30 00:00:00,ETH/USD,3630.25,3769.81,3585.00,3711.82,16312.69911217,60549802.81853485
1640736000,2021-12-29 00:00:00,ETH/USD,3791.13,3827.86,3603.86,3627.68,14161.77245817,51374378.71105415
1640649600,2021-12-28 00:00:00,ETH/USD,4040.20,4040.20,3760.00,3793.08,21755.65390403,82520935.71029812
1640563200,2021-12-27 00:00:00,ETH/USD,4066.11,4128.82,4034.70,4037.40,7085.44843618,28606789.51623313
1640476800,2021-12-26 00:00:00,ETH/USD,4098.62,4106.84,4002.97,4062.58,3919.40048497,15922878.022229422
1640390400,2021-12-25 00:00:00,ETH/USD,4052.45,4140.00,4023.07,4099.24,3850.63153297,15784662.805211943
1640304000,2021-12-24 00:00:00,ETH/USD,4116.40,4137.85,4020.00,4049.93,6839.92964321,27701236.259925473
1640217600,2021-12-23 00:00:00,ETH/USD,3982.70,4155.00,3895.91,4113.76,13186.81833363,54247405.78815375
1640131200,2021-12-22 00:00:00,ETH/USD,4017.87,4076.00,3930.00,3981.73,9073.77440969,36129319.78029497
1640044800,2021-12-21 00:00:00,ETH/USD,3949.91,4064.01,3915.94,4018.39,13607.41178651,54679887.44879392
1639958400,2021-12-20 00:00:00,ETH/USD,3927.07,3983.23,3755.00,3946.12,16426.60424670,64821351.54998781
1639872000,2021-12-19 00:00:00,ETH/USD,3957.08,4030.11,3883.44,3922.28,8466.23956639,33206962.126460172
1639785600,2021-12-18 00:00:00,ETH/USD,3878.48,3999.00,3768.85,3961.56,19864.71782747,78695271.55659206
1639699200,2021-12-17 00:00:00,ETH/USD,3957.00,3994.99,3695.19,3877.30,35047.53813234,135889819.6005219
1639612800,2021-12-16 00:00:00,ETH/USD,4020.63,4117.40,3952.93,3955.08,16395.42037346,64845199.21066418
1639526400,2021-12-15 00:00:00,ETH/USD,3859.68,4094.78,3640.60,4020.51,33173.40608857,133374010.91315658
1639440000,2021-12-14 00:00:00,ETH/USD,3785.56,3884.20,3686.66,3862.68,11516.07278472,44482904.02408224
1639353600,2021-12-13 00:00:00,ETH/USD,4130.46,4144.01,3669.48,3786.59,21135.23921476,80030485.45821807
1639267200,2021-12-12 00:00:00,ETH/USD,4095.23,4177.62,3987.85,4136.06,6795.05903098,28104771.855675142
1639180800,2021-12-11 00:00:00,ETH/USD,3895.01,4098.07,3833.66,4089.22,8778.17998493,35895909.15797546
1639094400,2021-12-10 00:00:00,ETH/USD,4106.71,4234.00,3885.05,3901.67,24219.76760610,94497540.67569219
1639008000,2021-12-09 00:00:00,ETH/USD,4443.93,4491.99,4073.42,4105.61,16798.75151737,68969122.21722944
1638921600,2021-12-08 00:00:00,ETH/USD,4313.54,4457.43,4226.05,4442.56,11704.28066716,51996969.12069833
1638835200,2021-12-07 00:00:00,ETH/USD,4356.95,4431.28,4256.06,4311.66,15870.26106595,68427169.82761398
1638748800,2021-12-06 00:00:00,ETH/USD,4202.73,4382.02,3922.80,4357.06,51987.00051643,226510480.47011653
