unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1640908800,12/31/2021 0:00,LTC/USD,147.93,152.59,143.98,145.97,16328.40674,2383457.532
1640822400,12/30/2021 0:00,LTC/USD,145.53,149.9,142.98,148,13742.70407,2033920.203
1640736000,12/29/2021 0:00,LTC/USD,145.72,150.86,144.29,145.41,17902.97918,2603272.203
1640649600,12/28/2021 0:00,LTC/USD,155.83,155.87,144.73,145.77,30218.82905,4404998.71
1640563200,12/27/2021 0:00,LTC/USD,156.07,161.3,154.38,155.93,57695.6986,8996490.283
1640476800,12/26/2021 0:00,LTC/USD,158.03,158.42,153.19,155.9,18918.42481,2949382.429
1640390400,12/25/2021 0:00,LTC/USD,161.16,163.6,157.81,157.95,12831.53669,2026741.221
1640304000,12/24/2021 0:00,LTC/USD,164.03,166.67,160.36,160.8,19030.6915,3060135.193
1640217600,12/23/2021 0:00,LTC/USD,155.5,165.04,153.11,163.48,36678.23211,5996157.386
1640131200,12/22/2021 0:00,LTC/USD,154.87,160.12,153.11,155.37,21466.03873,3335178.437
1640044800,12/21/2021 0:00,LTC/USD,152.74,156.47,149.21,154.87,19205.42145,2974343.62
1639958400,12/20/2021 0:00,LTC/USD,153.28,156.86,145.5,152.67,23681.48486,3615452.294
1639872000,12/19/2021 0:00,LTC/USD,148.6,161,147.84,153.04,31405.48978,4806296.157
1639785600,12/18/2021 0:00,LTC/USD,144.14,150.23,142.97,148.8,11371.03476,1692009.972
1639699200,12/17/2021 0:00,LTC/USD,148.96,150.25,141.36,144.56,18166.21603,2626108.189
1639612800,12/16/2021 0:00,LTC/USD,153.45,156.7,148.66,148.66,17780.75554,2643287.119
1639526400,12/15/2021 0:00,LTC/USD,150.35,155.05,141.74,153.61,75697.80238,11627939.42
1639440000,12/14/2021 0:00,LTC/USD,144.42,151.9,143.12,150.41,21639.23074,3254756.696
1639353600,12/13/2021 0:00,LTC/USD,159.02,159.96,142.8,144.73,22161.77618,3207473.867
1639267200,12/12/2021 0:00,LTC/USD,158.28,162.81,153.44,159.05,15107.55898,2402857.255
1639180800,12/11/2021 0:00,LTC/USD,148.48,159.49,146,158.01,30020.2498,4743499.671
1639094400,12/10/2021 0:00,LTC/USD,151.29,159.86,147.92,148.4,29302.07609,4348428.091
1639008000,12/9/2021 0:00,LTC/USD,164.85,167.23,151.38,151.38,37640.92058,5698082.558
1638921600,12/8/2021 0:00,LTC/USD,162.16,170.4,156.42,165.48,33929.07509,5614583.345
1638835200,12/7/2021 0:00,LTC/USD,161.69,165.85,158.51,162.17,37381.92827,6062227.308
1638748800,12/6/2021 0:00,LTC/USD,156.33,164.68,141.6,161.67,47393.52231,7662110.752
1638662400,12/5/2021 0:00,LTC/USD,162.65,165.09,148.67,156.53,53637.81619,8395927.368
1638576000,12/4/2021 0:00,LTC/USD,188.13,188.62,130.09,163.13,83137.18717,13562169.34
1638489600,12/3/2021 0:00,LTC/USD,203.47,208.16,180,187.68,26778.89576,5025863.156
1638403200,12/2/2021 0:00,LTC/USD,208.66,210.11,200.2,203.6,18701.23745,3807571.945
1638316800,12/1/2021 0:00,LTC/USD,207.63,217.59,205.56,208.72,26306.93832,5490784.167
1638230400,11/30/2021 0:00,LTC/USD,205.73,220,197.7,207.86,43408.32084,9022853.569
1638144000,11/29/2021 0:00,LTC/USD,199.72,209.6,195.73,205.9,39071.57281,8044836.841
1638057600,11/28/2021 0:00,LTC/USD,195.12,200,182.41,199.8,34060.67584,6805323.033
1637971200,11/27/2021 0:00,LTC/USD,195.81,201.19,190.84,195.47,31085.27965,6076239.613
1637884800,11/26/2021 0:00,LTC/USD,223.68,224.83,190.12,194.88,76453.33,14899224.95
1637798400,11/25/2021 0:00,LTC/USD,212.56,230,210.92,223.21,43865.13982,9791137.86
1637712000,11/24/2021 0:00,LTC/USD,216.43,217.53,206,212.34,26166.69052,5556235.065
1637625600,11/23/2021 0:00,LTC/USD,209.25,218.65,205.43,216.5,30262.17529,6551760.95
1637539200,11/22/2021 0:00,LTC/USD,221.53,221.79,205.43,209.28,30589.7633,6401825.664
1637452800,11/21/2021 0:00,LTC/USD,226.88,230.85,219.92,222.15,28015.08857,6223551.926
1637366400,11/20/2021 0:00,LTC/USD,218.17,228,212.9,227.07,31520.01204,7157249.135
1637280000,11/19/2021 0:00,LTC/USD,204.27,221.44,199.84,218.07,40671.3947,8869211.043
1637193600,11/18/2021 0:00,LTC/USD,229.52,232.41,199.64,204.36,70279.86529,14362393.27
1637107200,11/17/2021 0:00,LTC/USD,230.87,235.63,218.23,229.96,46543.21201,10703077.03
1637020800,11/16/2021 0:00,LTC/USD,262.46,262.79,223,230.43,61594.65344,14193255.99
1636934400,11/15/2021 0:00,LTC/USD,279.54,281.32,259.21,263.04,35341.88132,9296328.463
1636848000,11/14/2021 0:00,LTC/USD,257.66,279.55,248.69,279.38,35085.30952,9802133.775
1636761600,11/13/2021 0:00,LTC/USD,251.37,264.35,245.48,257.7,30870.22613,7955257.274
1636675200,11/12/2021 0:00,LTC/USD,262.35,282.64,243.97,251.19,61580.80096,15468481.39
1636588800,11/11/2021 0:00,LTC/USD,260.3,274.16,251,262.46,55230.73338,14495858.28
1636502400,11/10/2021 0:00,LTC/USD,262.31,295.8,252.22,260.53,154429.6114,40233546.67
1636416000,11/9/2021 0:00,LTC/USD,229.03,274.54,227.2,262.24,147075.6131,38569108.78
