unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1577750400,12/31/2019 0:00,XRP/USD,0.19264,0.19364,0.18915,0.1925,17766452.38,3420042.083
1577664000,12/30/2019 0:00,XRP/USD,0.19582,0.19784,0.19129,0.19246,41423884.42,7972440.795
1577577600,12/29/2019 0:00,XRP/USD,0.19252,0.1982,0.1905,0.19635,21828701.79,4286065.597
1577491200,12/28/2019 0:00,XRP/USD,0.18967,0.19459,0.18944,0.19258,23561376.32,4537449.852
1577404800,12/27/2019 0:00,XRP/USD,0.18894,0.19031,0.18414,0.18976,42648967.8,8093068.13
1577318400,12/26/2019 0:00,XRP/USD,0.18817,0.19405,0.18701,0.1889,33883561.73,6400604.811
1577232000,12/25/2019 0:00,XRP/USD,0.19054,0.19176,0.18613,0.18821,16216501.03,3052107.659
1577145600,12/24/2019 0:00,XRP/USD,0.18945,0.19396,0.18723,0.19035,65059712.22,12384116.22
1577059200,12/23/2019 0:00,XRP/USD,0.19701,0.19886,0.18827,0.1896,23301595.84,4417982.571
1576972800,12/22/2019 0:00,XRP/USD,0.1913,0.19722,0.19048,0.197,24058402.92,4739505.374
1576886400,12/21/2019 0:00,XRP/USD,0.19506,0.19648,0.19003,0.19137,28243997.71,5405053.842
1576800000,12/20/2019 0:00,XRP/USD,0.18768,0.1981,0.18339,0.19487,57191101.53,11144829.95
1576713600,12/19/2019 0:00,XRP/USD,0.19638,0.19749,0.18436,0.18763,55076056.26,10333920.44
1576627200,12/18/2019 0:00,XRP/USD,0.18314,0.20101,0.17468,0.19578,80830683.81,15825031.28
1576540800,12/17/2019 0:00,XRP/USD,0.2053,0.2053,0.17826,0.18271,76292946.94,13939484.34
1576454400,12/16/2019 0:00,XRP/USD,0.21699,0.21736,0.202,0.20518,52382966.71,10747937.11
1576368000,12/15/2019 0:00,XRP/USD,0.21612,0.21927,0.21424,0.217,22718839.34,4929988.138
1576281600,12/14/2019 0:00,XRP/USD,0.22019,0.22087,0.21446,0.21606,25750712.5,5563698.942
1576195200,12/13/2019 0:00,XRP/USD,0.21839,0.22094,0.21463,0.22022,35285975.89,7770677.611
1576108800,12/12/2019 0:00,XRP/USD,0.22073,0.22286,0.2133,0.21824,38362328.1,8372194.485
1576022400,12/11/2019 0:00,XRP/USD,0.22229,0.22378,0.21969,0.22073,28911286.81,6381588.337
1575936000,12/10/2019 0:00,XRP/USD,0.22422,0.2253,0.21879,0.22229,34154814.43,7592273.699
1575849600,12/9/2019 0:00,XRP/USD,0.22934,0.23098,0.2209,0.22417,33474294.41,7503932.577
1575763200,12/8/2019 0:00,XRP/USD,0.22752,0.2327,0.22395,0.22928,26181284.42,6002844.892
1575676800,12/7/2019 0:00,XRP/USD,0.22565,0.22866,0.22309,0.22733,15721056.67,3573867.812
1575590400,12/6/2019 0:00,XRP/USD,0.2213,0.22741,0.219,0.22563,32478720.83,7328173.781
1575504000,12/5/2019 0:00,XRP/USD,0.21415,0.22667,0.21197,0.22148,39050721.63,8648953.826
1575417600,12/4/2019 0:00,XRP/USD,0.21945,0.22569,0.20946,0.21423,42727493.36,9153510.903
1575331200,12/3/2019 0:00,XRP/USD,0.21941,0.2225,0.21788,0.21941,28836492.25,6327014.764
1575244800,12/2/2019 0:00,XRP/USD,0.22531,0.22661,0.21736,0.21927,43335155.05,9502099.447
1575158400,12/1/2019 0:00,XRP/USD,0.22589,0.226,0.21877,0.22502,21495585.38,4836936.622
1575072000,11/30/2019 0:00,XRP/USD,0.23017,0.23234,0.22383,0.22572,25540583.08,5765020.414
1574985600,11/29/2019 0:00,XRP/USD,0.22289,0.2326,0.22286,0.23036,32389797.16,7461313.674
1574899200,11/28/2019 0:00,XRP/USD,0.22456,0.23,0.2225,0.22337,27859316.64,6222935.557
1574812800,11/27/2019 0:00,XRP/USD,0.22097,0.2301,0.21265,0.22437,61947814.23,13899231.08
1574726400,11/26/2019 0:00,XRP/USD,0.21779,0.22191,0.21366,0.22088,45113497.14,9964669.249
1574640000,11/25/2019 0:00,XRP/USD,0.22025,0.2255,0.20041,0.21744,93062811.16,20235577.66
1574553600,11/24/2019 0:00,XRP/USD,0.23439,0.2351,0.21867,0.2207,41371127.49,9130607.837
1574467200,11/23/2019 0:00,XRP/USD,0.23047,0.2357,0.22595,0.23426,45713155.77,10708763.87
1574380800,11/22/2019 0:00,XRP/USD,0.24297,0.24565,0.22201,0.23037,59097670.66,13614330.39
1574294400,11/21/2019 0:00,XRP/USD,0.24989,0.253,0.235,0.24297,36876282.86,8959830.446
1574208000,11/20/2019 0:00,XRP/USD,0.25368,0.25843,0.24767,0.24987,27478211.94,6865980.818
1574121600,11/19/2019 0:00,XRP/USD,0.25114,0.25624,0.24253,0.25367,33344867.32,8458592.492
1574035200,11/18/2019 0:00,XRP/USD,0.26314,0.26324,0.23981,0.25159,33455297.43,8417018.281
1573948800,11/17/2019 0:00,XRP/USD,0.26194,0.26624,0.25905,0.26314,21511661.37,5660578.572
1573862400,11/16/2019 0:00,XRP/USD,0.26019,0.26428,0.25895,0.26193,19835139.14,5195417.994
1573776000,11/15/2019 0:00,XRP/USD,0.26745,0.26909,0.25166,0.26013,32523962.84,8460458.452
1573689600,11/14/2019 0:00,XRP/USD,0.27146,0.27228,0.26301,0.26754,30483110.31,8155451.332
1573603200,11/13/2019 0:00,XRP/USD,0.27231,0.27547,0.26999,0.27147,24752801.19,6719642.939
1573516800,11/12/2019 0:00,XRP/USD,0.27401,0.27604,0.26669,0.272,28730342.13,7814653.059
1573430400,11/11/2019 0:00,XRP/USD,0.27886,0.28077,0.26901,0.27397,25932007.63,7104592.131
1573344000,11/10/2019 0:00,XRP/USD,0.28003,0.28434,0.27651,0.27905,30375452.6,8476270.048
1573257600,11/9/2019 0:00,XRP/USD,0.2752,0.28122,0.27419,0.27973,20018415.64,5599751.406
1573171200,11/8/2019 0:00,XRP/USD,0.29035,0.2905,0.2703,0.27502,63284155.36,17404408.41
1573084800,11/7/2019 0:00,XRP/USD,0.31044,0.31503,0.274,0.29009,47357038.81,13737803.39
1572998400,11/6/2019 0:00,XRP/USD,0.30105,0.31306,0.29727,0.31037,28818294.38,8944334.027
1572912000,11/5/2019 0:00,XRP/USD,0.29966,0.305,0.29524,0.3011,34242940.46,10310549.37
