unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609372800,12/31/2020 0:00,BTC/USD,28893.21,29300,27930.75,28992.79,9477.676618,274784287.9
1609286400,12/30/2020 0:00,BTC/USD,27370,29010.32,27328.37,28881.3,11741.73338,339116524.3
1609200000,12/29/2020 0:00,BTC/USD,27037.9,27395,25831.85,27370,9577.278292,262130106.8
1609113600,12/28/2020 0:00,BTC/USD,26242.82,27473.49,26079.6,27037.91,7987.777611,215972812.1
1609027200,12/27/2020 0:00,BTC/USD,26472.89,28377.94,25770,26259.6,13234.33413,347528320.5
1608940800,12/26/2020 0:00,BTC/USD,24714.01,26809.5,24485.32,26466.28,7491.461846,198271126.8
1608854400,12/25/2020 0:00,BTC/USD,23747.22,24777,23403.82,24705.15,6469.228973,159823272.2
1608768000,12/24/2020 0:00,BTC/USD,23215,23779.14,22700.1,23726.28,7185.482055,170484759.2
1608681600,12/23/2020 0:00,BTC/USD,23819.08,24096.9,22624.92,23247.71,11541.96937,268324356.8
1608595200,12/22/2020 0:00,BTC/USD,22750.07,23843.21,22383.59,23835.1,9367.609483,223277908.8
1608508800,12/21/2020 0:00,BTC/USD,23470.85,24123.83,21864.86,22732.01,12675.12802,288131136.9
1608422400,12/20/2020 0:00,BTC/USD,23842.38,24298.04,23092.77,23470.85,5095.96264,119606574.7
1608336000,12/19/2020 0:00,BTC/USD,23142.05,24217.38,22719.78,23842.99,8672.037696,206767308.1
1608249600,12/18/2020 0:00,BTC/USD,22829.89,23284.68,22360.93,23136.14,11360.3389,262834391.3
1608163200,12/17/2020 0:00,BTC/USD,21358.96,23777,21244.04,22814.24,22626.69253,516210793.8
1608076800,12/16/2020 0:00,BTC/USD,19434.55,21576.76,19277.66,21365.7,14974.62184,319943277.9
1607990400,12/15/2020 0:00,BTC/USD,19274.33,19567.84,19050,19434.87,6750.772194,131200380
1607904000,12/14/2020 0:00,BTC/USD,19151.82,19346.9,18979.21,19274.33,3618.376905,69741790.52
